"Disqualifying_Properties","array of strings","NA","NA","[]","A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See :ref:`demo-properties` parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",".. code-block:: json

    {
      ""Disqualifying_Properties"": [
        ""InterventionStatus:LostForever""
      ]
    }
"
"Risk_Log_Normal_Mu","float","-3.40282e+38","1.70141e+38","3.40282E+38","The mean of the biting risk when **Risk_Distribution** is set to LOG_NORMAL_DISTRIBUTION.",".. code-block:: json

    {
      ""Risk_Distribution"": ""LOG_NORMAL_DISTRIBUTION"",
      ""Risk_Log_Normal_Mu"": 9,
      ""Risk_Log_Normal_Sigma"": 2
    }
"
"Risk_Log_Normal_Sigma","float","-3.40282e+38","1.70141e+38","3.40282E+38","The width of the biting risk when **Risk_Distribution** is set to LOG_NORMAL_DISTRIBUTION.",".. code-block:: json

    {
      ""Risk_Distribution"": ""LOG_NORMAL_DISTRIBUTION"",
      ""Risk_Log_Normal_Mu"": 9,
      ""Risk_Log_Normal_Sigma"": 2
    }
"
"Risk_Max","float","0","3.40282E+38","-1","The maximum biting risk when **Risk_Distribution** is set to UNIFORM_DISTRIBUTION.",".. code-block:: json

    {
      ""Risk_Distribution"": ""UNIFORM_DISTRIBUTION"",
      ""Risk_Min"": 2,
      ""Risk_Max"": 7
    }
"
"Risk_Mean_1","float","1.17549E-38","3.40282E+38","-1","The mean of the first exponential distribution when **Risk_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",".. code-block:: json

    {
      ""Risk_Distribution"": ""DUAL_EXPONENTIAL_DISTRIBUTION"",
      ""Risk_Mean_1"": 4,
      ""Risk_Mean_2"": 12,
      ""Risk_Proportion_1"": 0.2
    }
"
"Risk_Mean_2","float","1.17549E-38","3.40282E+38","-1","The mean of the second exponential distribution when **Risk_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",".. code-block:: json

    {
      ""Risk_Distribution"": ""DUAL_EXPONENTIAL_DISTRIBUTION"",
      ""Risk_Mean_1"": 4,
      ""Risk_Mean_2"": 12,
      ""Risk_Proportion_1"": 0.2
    }
"
"Risk_Min","float","0","3.40282E+38","-1","The minimum biting risk when **Risk_Distribution** is set to UNIFORM_DISTRIBUTION.",".. code-block:: json

    {
      ""Risk_Distribution"": ""UNIFORM_DISTRIBUTION"",
      ""Risk_Min"": 2,
      ""Risk_Max"": 7
    }
"
"Risk_Peak_2_Value","float","0","3.40282E+38","-1","The biting risk value to assign to the remaining individuals when **Risk_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.",".. code-block:: json

    {
      ""Risk_Distribution"": ""DUAL_CONSTANT_DISTRIBUTION"",
      ""Risk_Proportion_0"": 0.25,
      ""Risk_Peak_2_Value"": 5
    }
"
"Risk_Poisson_Mean","float","0","3.40282E+38","-1","The mean of the biting risk when **Risk_Distribution** is set to POISSON_DISTRIBUTION.",".. code-block:: json

    {
      ""Risk_Distribution"": ""POISSON_DISTRIBUTION"",
      ""Risk_Poisson_Mean"": 5
    }
"
"Risk_Proportion_0","float","0","1","-1","The proportion of individuals to assign a value of zero biting risk when **Risk_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.",".. code-block:: json

    {
      ""Risk_Distribution"": ""DUAL_CONSTANT_DISTRIBUTION"",
      ""Risk_Proportion_0"": 0.25,
      ""Risk_Peak_2_Value"": 5
    }
"
"Risk_Proportion_1","float","0","1","-1","The proportion of individuals in the first exponential distribution when **Risk_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",".. code-block:: json

    {
      ""Risk_Distribution"": ""DUAL_EXPONENTIAL_DISTRIBUTION"",
      ""Risk_Mean_1"": 4,
      ""Risk_Mean_2"": 12,
      ""Risk_Proportion_1"": 0.2
    }
"
