"Cost_To_Consumer","float","0","999999","10","The unit cost per vector control (unamortized).",".. code-block:: json

    {
      ""Cost_To_Consumer"": 9.0
    }
"
"Expiration_Max","float","0","3.4E+38","1","The maximum time to expiration of the trap, in days, when **Expiration_Distribution** is set to UNIFORM_DISTRIBUTION.",".. code-block:: json

    {
      ""Expiration_Distribution"": ""UNIFORM_DISTRIBUTION"",
      ""Expiration_Min"": 2,
      ""Expiration_Max"": 7
    }
"
"Expiration_Mean_1","float","1.18E-38","3.4E+38","1","The mean of the first exponential distribution in days, when **Exponential_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",".. code-block:: json

    {
      ""Expiration_Distribution"": ""DUAL_EXPONENTIAL_DISTRIBUTION"",
      ""Expiration_Mean_1"": 4,
      ""Expiration_Mean_2"": 12,
      ""Expiration_Proportion_1"": 0.2
    }
"
"Expiration_Mean_2","float","1.18E-38","3.4E+38","1","The mean of the second exponential distribution in days, when **Exponential_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",".. code-block:: json

    {
      ""Expiration_Distribution"": ""DUAL_EXPONENTIAL_DISTRIBUTION"",
      ""Expiration_Mean_1"": 4,
      ""Expiration_Mean_2"": 12,
      ""Expiration_Proportion_1"": 0.2
    }
"
"Expiration_Min","float","0","3.4E+38","0","The minimum time to expiration of the trap, in days, when **Expiration_Distribution** is set to UNIFORM_DISTRIBUTION.",".. code-block:: json

    {
      ""Expiration_Distribution"": ""UNIFORM_DISTRIBUTION"",
      ""Expiration_Min"": 2,
      ""Expiration_Max"": 7
    }
"
"Expiration_Peak_2_Value","float","0","3.4E+38","1","The expiration value, in days, to assign to the remaining traps when **Expiration_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.",".. code-block:: json

    {
      ""Expiration_Distribution"": ""DUAL_CONSTANT_DISTRIBUTION"",
      ""Expiration_Proportion_0"": 0.25,
      ""Expiration_Peak_2_Value"": 5
    }
"
"Expiration_Poisson_Mean","float","0","3.4E+38","6","The mean of the expiration time of the trap, in days, when **Expiration_Distribution** is set to POISSON_DISTRIBUTION.",".. code-block:: json

    {
      ""Expiration_Distribution"": ""POISSON_DISTRIBUTION"",
      ""Expiration_Poisson_Mean"": 5
    }
"
"Expiration_Proportion_0","float","0","1","1","The proportion of traps to assign a value of zero days to expiration when **Expiration_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.",".. code-block:: json

    {
      ""Expiration_Distribution"": ""DUAL_CONSTANT_DISTRIBUTION"",
      ""Expiration_Proportion_0"": 0.25,
      ""Expiration_Peak_2_Value"": 5
    }
"
"Expiration_Proportion_1","float","0","1","1","The proportion of traps in the first exponential distribution when **Expiration_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",".. code-block:: json

    {
      ""Expiration_Distribution"": ""DUAL_EXPONENTIAL_DISTRIBUTION"",
      ""Expiration_Mean_1"": 4,
      ""Expiration_Mean_2"": 12,
      ""Expiration_Proportion_1"": 0.2
    }
"
"Insecticide_Name","string","NA","NA","UNINITIALIZED STRING","The name of the insecticide defined in  <config.Insecticides>  for this intervention.  If insecticides are being used,  this must be defined as one of those values; if they are not being used this can be empty.  It cannot have a value if you did not configure <config.Insecticides>.",".. code-block:: json

    {
      ""Insecticide_Name"": ""carbamate""
    }
"
"Intervention_Name","string","NA","NA","SugarTrap","The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.",".. code-block:: json

    {
      ""Intervention_Config"": {
        ""class"": ""SugarTrap"",
        ""Intervention_Name"": ""Mosquito sugar feeding, nationwide campaign""
      }
    }
"
"Killing_Config","json object","NA","NA","NA","The configuration for the effects of killing of the targeted stage. Specify how this effect decays over time using one of the :doc:`parameter-campaign-waningeffects`.",".. code-block:: json

    {
      ""Killing_Config"": {
        ""Box_Duration"": 3650,
        ""Initial_Effect"": 0.5,
        ""class"": ""WaningEffectBox""
      }
    }
"
"New_Property_Value","string","NA","NA","""""","An optional **NodeProperty** key:value pair that will be assigned when the intervention is applied. See :ref:`demo-properties` parameters for more information.",".. code-block:: json

    {
      ""New_Property_Value"": ""HasHealthCare:YES""
    }
"
